feature value,n_samples,precision,recall,fbeta
 China,14,0.6666666666666666,1.0,0.8
 Germany,25,1.0,0.8,0.888888888888889
 ?,108,0.9696969696969697,0.9142857142857143,0.9411764705882354
 Cambodia,5,0.0,0.0,0.0
 India,31,1.0,0.8,0.888888888888889
 Haiti,9,1.0,1.0,1.0
 Laos,4,0.0,0.0,0.0
 Honduras,4,1.0,1.0,1.0
 El-Salvador,18,1.0,1.0,1.0
 South,11,1.0,1.0,1.0
 Philippines,39,1.0,0.9090909090909091,0.9523809523809523
 England,21,1.0,0.8571428571428571,0.923076923076923
 Guatemala,17,1.0,1.0,1.0
 Cuba,18,1.0,1.0,1.0
 Mexico,124,0.967741935483871,0.9375,0.9523809523809523
 Taiwan,8,1.0,1.0,1.0
 Columbia,12,1.0,0.8,0.888888888888889
 Puerto-Rico,25,1.0,0.8888888888888888,0.9411764705882353
 Portugal,13,1.0,1.0,1.0
 Dominican-Republic,15,0.8333333333333334,1.0,0.9090909090909091
 Italy,20,1.0,1.0,1.0
 Jamaica,14,1.0,1.0,1.0
 Poland,13,1.0,1.0,1.0
 Iran,10,1.0,1.0,1.0
 Nicaragua,5,1.0,1.0,1.0
 Canada,23,1.0,1.0,1.0
 Vietnam,13,1.0,1.0,1.0
 Japan,12,0.0,0.0,0.0
 Hong,4,0.0,0.0,0.0
 France,5,1.0,1.0,1.0
 Ireland,6,1.0,1.0,1.0
 Peru,7,0.0,0.0,0.0
 Trinadad&Tobago,2,1.0,1.0,1.0
 Hungary,3,1.0,1.0,1.0
 Ecuador,3,1.0,1.0,1.0
 Greece,5,0.5,1.0,0.6666666666666666
 Scotland,3,1.0,1.0,1.0
 Yugoslavia,1,0.0,0.0,0.0
 Thailand,4,1.0,1.0,1.0
 Outlying-US(Guam-USVI-etc),1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Local-gov,417,0.9361702127659575,0.9361702127659575,0.9361702127659575
 Private,4537,0.9463459759481961,0.9174887892376682,0.9316939890710383
 Self-emp-inc,256,0.95,0.8636363636363636,0.9047619047619048
 Self-emp-not-inc,502,0.9565217391304348,0.8870967741935484,0.9205020920502093
 State-gov,258,0.96875,0.9538461538461539,0.9612403100775193
 ?,346,0.9294117647058824,0.9080459770114943,0.9186046511627908
 Federal-gov,191,0.9285714285714286,0.9512195121951219,0.9397590361445782
 Without-pay,5,1.0,1.0,1.0
 Never-worked,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Masters,339,0.9859154929577465,0.8860759493670886,0.9333333333333333
 Some-college,1455,0.9352331606217616,0.9116161616161617,0.9232736572890026
 Preschool,15,1.0,1.0,1.0
 Assoc-voc,285,0.9558823529411765,0.9420289855072463,0.9489051094890512
 HS-grad,2057,0.9430379746835443,0.9216494845360824,0.9322210636079249
 Bachelors,1128,0.9291044776119403,0.9021739130434783,0.9154411764705883
 Doctorate,83,0.95,0.9047619047619048,0.9268292682926829
 Prof-school,115,1.0,0.9565217391304348,0.9777777777777777
 Assoc-acdm,234,0.96,0.8888888888888888,0.923076923076923
 9th,102,0.9615384615384616,0.9259259259259259,0.9433962264150944
 10th,179,0.9444444444444444,0.9714285714285714,0.9577464788732395
 11th,229,0.9787234042553191,0.92,0.9484536082474226
 5th-6th,57,1.0,0.9285714285714286,0.962962962962963
 12th,77,1.0,1.0,1.0
 7th-8th,125,1.0,0.9459459459459459,0.9722222222222222
 1st-4th,33,0.875,0.7777777777777778,0.823529411764706
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3022,0.9470013947001394,0.9065420560747663,0.9263301500682128
 Never-married,2133,0.9443339960238568,0.9152215799614644,0.929549902152642
 Widowed,210,0.9787234042553191,0.9787234042553191,0.9787234042553191
 Married-spouse-absent,89,0.875,0.9545454545454546,0.9130434782608695
 Divorced,858,0.9547738693467337,0.9223300970873787,0.9382716049382717
 Separated,198,0.9245283018867925,0.9607843137254902,0.9423076923076923
 Married-AF-spouse,3,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Prof-specialty,825,0.9468085106382979,0.9035532994923858,0.9246753246753245
 Priv-house-serv,32,1.0,0.6666666666666666,0.8
 Craft-repair,785,0.9466019417475728,0.9112149532710281,0.9285714285714286
 Adm-clerical,743,0.9333333333333333,0.9032258064516129,0.9180327868852459
 Exec-managerial,842,0.9560439560439561,0.9015544041450777,0.928
 Tech-support,192,0.9433962264150944,0.8771929824561403,0.9090909090909091
 Machine-op-inspct,425,0.9514563106796117,0.9333333333333333,0.9423076923076923
 Farming-fishing,201,0.9423076923076923,0.9423076923076923,0.9423076923076923
 Transport-moving,325,0.9310344827586207,0.9418604651162791,0.9364161849710984
 Other-service,667,0.9375,0.9440559440559441,0.9407665505226481
 ?,347,0.9294117647058824,0.9080459770114943,0.9186046511627908
 Sales,740,0.9710982658959537,0.9385474860335196,0.9545454545454546
 Protective-serv,139,0.9411764705882353,0.9142857142857143,0.9275362318840579
 Handlers-cleaners,247,0.9423076923076923,0.9074074074074074,0.9245283018867925
 Armed-Forces,3,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Husband,2654,0.9456,0.8995433789954338,0.921996879875195
 Not-in-family,1649,0.9502487562189055,0.9385749385749386,0.9443757725587144
 Unmarried,683,0.9876543209876543,0.9195402298850575,0.9523809523809523
 Own-child,1017,0.9218106995884774,0.9218106995884774,0.9218106995884774
 Wife,324,0.9506172839506173,0.9625,0.9565217391304348
 Other-relative,186,0.8709677419354839,0.7941176470588235,0.8307692307692308
feature value,n_samples,precision,recall,fbeta
 Black,603,0.9379310344827586,0.9066666666666666,0.9220338983050848
 White,5578,0.9470098410295231,0.9164835164835164,0.9314966492926284
 Asian-Pac-Islander,216,0.9333333333333333,0.8936170212765957,0.9130434782608695
 Other,56,1.0,0.9523809523809523,0.975609756097561
 Amer-Indian-Eskimo,60,0.9230769230769231,1.0,0.9600000000000001
feature value,n_samples,precision,recall,fbeta
 Male,4338,0.9424736337488016,0.911873840445269,0.926921263554927
 Female,2175,0.9540918163672655,0.9245647969052224,0.9390962671905698
feature value,n_samples,precision,recall,fbeta
 United-States,5810,0.9461818181818182,0.9161971830985915,0.9309481216457961
 Hungary,2,0.0,0.0,0.0
 Germany,29,1.0,0.8888888888888888,0.9411764705882353
 Philippines,46,1.0,0.75,0.8571428571428571
 Nicaragua,6,1.0,0.5,0.6666666666666666
 Mexico,137,0.8823529411764706,0.9090909090909091,0.8955223880597014
 Outlying-US(Guam-USVI-etc),5,1.0,1.0,1.0
 Puerto-Rico,23,1.0,1.0,1.0
 Honduras,2,1.0,1.0,1.0
 Columbia,10,1.0,1.0,1.0
 El-Salvador,15,1.0,1.0,1.0
 Ireland,6,1.0,1.0,1.0
 Cuba,23,1.0,1.0,1.0
 Ecuador,7,1.0,1.0,1.0
 Yugoslavia,4,0.0,0.0,0.0
 Canada,28,1.0,0.8888888888888888,0.9411764705882353
 China,18,0.0,0.0,0.0
 ?,118,0.967741935483871,0.9375,0.9523809523809523
 Haiti,7,0.0,0.0,0.0
 Vietnam,11,1.0,1.0,1.0
 India,21,1.0,1.0,1.0
 Thailand,6,1.0,1.0,1.0
 France,6,1.0,1.0,1.0
 Iran,5,0.5,1.0,0.6666666666666666
 South,14,0.8333333333333334,1.0,0.9090909090909091
 Guatemala,14,1.0,1.0,1.0
 Japan,11,1.0,1.0,1.0
 Poland,14,0.0,0.0,0.0
 Peru,9,1.0,1.0,1.0
 Jamaica,14,1.0,1.0,1.0
 Dominican-Republic,12,1.0,0.5,0.6666666666666666
 Greece,8,1.0,0.5,0.6666666666666666
 Italy,17,1.0,1.0,1.0
 Portugal,6,1.0,1.0,1.0
 Trinadad&Tobago,6,0.5,1.0,0.6666666666666666
 England,19,1.0,0.8571428571428571,0.923076923076923
 Hong,2,0.0,0.0,0.0
 Cambodia,4,0.0,0.0,0.0
 Scotland,3,1.0,0.5,0.6666666666666666
 Laos,5,1.0,1.0,1.0
 Taiwan,10,1.0,0.75,0.8571428571428571
feature value,n_samples,precision,recall,fbeta
 Local-gov,450,0.9895833333333334,0.9134615384615384,0.95
 Private,4527,0.9415041782729805,0.9168173598553345,0.9289967934035731
 Self-emp-not-inc,490,0.9491525423728814,0.875,0.9105691056910569
 Federal-gov,184,0.9591836734693877,0.94,0.9494949494949495
 State-gov,276,0.9402985074626866,0.9264705882352942,0.9333333333333335
 ?,375,0.9361702127659575,0.9263157894736842,0.9312169312169313
 Self-emp-inc,210,0.9767441860465116,0.9545454545454546,0.9655172413793104
 Never-worked,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Prof-school,100,0.9583333333333334,0.8846153846153846,0.9199999999999999
 Some-college,1484,0.9464285714285714,0.8932584269662921,0.9190751445086704
 12th,81,1.0,0.8571428571428571,0.923076923076923
 11th,223,0.9636363636363636,0.9814814814814815,0.9724770642201834
 10th,176,0.9767441860465116,0.8936170212765957,0.9333333333333332
 9th,105,0.9310344827586207,0.9,0.9152542372881356
 HS-grad,2075,0.9264413518886679,0.9155206286836935,0.9209486166007905
 Bachelors,1059,0.9571984435797666,0.9318181818181818,0.944337811900192
 Assoc-acdm,217,0.9583333333333334,0.9387755102040817,0.9484536082474228
 Assoc-voc,294,0.9516129032258065,0.921875,0.9365079365079365
 Masters,361,0.967741935483871,0.9574468085106383,0.9625668449197862
 5th-6th,78,0.8823529411764706,0.8333333333333334,0.8571428571428571
 7th-8th,135,1.0,0.8666666666666667,0.9285714285714286
 Preschool,15,1.0,1.0,1.0
 Doctorate,81,0.95,0.95,0.9500000000000001
 1st-4th,29,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,2992,0.9479768786127167,0.9174825174825175,0.9324804548685146
 Never-married,2145,0.943579766536965,0.9133709981167608,0.9282296650717703
 Widowed,202,0.9259259259259259,0.8928571428571429,0.9090909090909091
 Divorced,870,0.9454545454545454,0.9369369369369369,0.9411764705882352
 Married-spouse-absent,90,0.9545454545454546,0.84,0.8936170212765958
 Separated,211,0.9761904761904762,0.8913043478260869,0.9318181818181818
 Married-AF-spouse,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Prof-specialty,846,0.9798994974874372,0.9154929577464789,0.9466019417475728
 Other-service,674,0.9341317365269461,0.9230769230769231,0.9285714285714287
 Craft-repair,809,0.9456521739130435,0.90625,0.9255319148936171
 Adm-clerical,746,0.9364161849710982,0.9257142857142857,0.9310344827586206
 Exec-managerial,792,0.9468085106382979,0.9222797927461139,0.9343832020997374
 Handlers-cleaners,277,0.953125,0.8840579710144928,0.9172932330827068
 Protective-serv,139,0.9512195121951219,0.9512195121951219,0.9512195121951219
 Farming-fishing,202,0.88,0.9565217391304348,0.9166666666666666
 ?,376,0.9361702127659575,0.9263157894736842,0.9312169312169313
 Sales,734,0.9289940828402367,0.8870056497175142,0.9075144508670521
 Transport-moving,316,0.9876543209876543,0.9411764705882353,0.963855421686747
 Priv-house-serv,24,1.0,1.0,1.0
 Machine-op-inspct,376,0.9411764705882353,0.9090909090909091,0.9248554913294799
 Tech-support,201,0.9534883720930233,0.8913043478260869,0.9213483146067417
 Armed-Forces,1,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Husband,2629,0.9478991596638655,0.9170731707317074,0.9322314049586776
 Own-child,1029,0.9705882352941176,0.9166666666666666,0.9428571428571428
 Unmarried,701,0.9438202247191011,0.9230769230769231,0.9333333333333335
 Not-in-family,1644,0.9321608040201005,0.9093137254901961,0.9205955334987593
 Other-relative,196,0.9387755102040817,0.92,0.9292929292929293
 Wife,314,0.9418604651162791,0.9204545454545454,0.9310344827586208
feature value,n_samples,precision,recall,fbeta
 Asian-Pac-Islander,232,0.9473684210526315,0.8709677419354839,0.9075630252100839
 White,5512,0.945635528330781,0.9168522642910171,0.9310214851111949
 Black,659,0.9411764705882353,0.9230769230769231,0.9320388349514563
 Amer-Indian-Eskimo,67,1.0,0.9545454545454546,0.9767441860465117
 Other,43,1.0,0.875,0.9333333333333333
feature value,n_samples,precision,recall,fbeta
 Male,4376,0.9475218658892128,0.912067352666043,0.9294566253574833
 Female,2137,0.9436893203883495,0.9239543726235742,0.9337175792507205
feature value,n_samples,precision,recall,fbeta
 Philippines,46,0.9,0.8181818181818182,0.8571428571428572
 United-States,5792,0.945691527878349,0.9177793394237527,0.9315263908701854
 Canada,26,1.0,1.0,1.0
 India,25,0.8333333333333334,0.8333333333333334,0.8333333333333334
 Vietnam,17,1.0,1.0,1.0
 ?,137,0.9444444444444444,0.8947368421052632,0.918918918918919
 Germany,23,1.0,1.0,1.0
 El-Salvador,26,1.0,0.75,0.8571428571428571
 Laos,4,0.0,0.0,0.0
 Mexico,129,0.9565217391304348,0.9166666666666666,0.9361702127659574
 Greece,6,1.0,1.0,1.0
 Japan,16,0.6666666666666666,1.0,0.8
 England,16,1.0,1.0,1.0
 Puerto-Rico,24,0.8,0.8,0.8000000000000002
 Haiti,11,1.0,1.0,1.0
 Portugal,6,0.0,0.0,0.0
 China,21,1.0,1.0,1.0
 Nicaragua,9,1.0,1.0,1.0
 Italy,16,1.0,0.8,0.888888888888889
 Jamaica,15,1.0,1.0,1.0
 Cambodia,7,1.0,1.0,1.0
 Scotland,4,1.0,1.0,1.0
 France,8,1.0,1.0,1.0
 Ecuador,3,1.0,1.0,1.0
 Guatemala,16,1.0,0.8,0.888888888888889
 Poland,13,0.0,0.0,0.0
 Dominican-Republic,14,1.0,1.0,1.0
 Columbia,8,1.0,1.0,1.0
 Taiwan,12,1.0,1.0,1.0
 Peru,4,0.0,0.0,0.0
 Cuba,21,0.75,1.0,0.8571428571428571
 Hong,5,1.0,1.0,1.0
 South,8,1.0,0.8,0.888888888888889
 Iran,7,1.0,0.5,0.6666666666666666
 Yugoslavia,4,1.0,1.0,1.0
 Thailand,5,1.0,0.75,0.8571428571428571
 Ireland,2,1.0,1.0,1.0
 Outlying-US(Guam-USVI-etc),3,1.0,1.0,1.0
 Trinadad&Tobago,2,0.0,0.0,0.0
 Honduras,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4545,0.946969696969697,0.916590284142988,0.9315323707498835
 Local-gov,414,0.963963963963964,0.9145299145299145,0.9385964912280702
 Federal-gov,184,0.9354838709677419,0.8529411764705882,0.8923076923076922
 ?,394,0.9245283018867925,0.9607843137254902,0.9423076923076923
 Self-emp-inc,234,0.92,0.8679245283018868,0.8932038834951457
 Self-emp-not-inc,506,0.9465648854961832,0.9185185185185185,0.9323308270676691
 State-gov,234,0.9655172413793104,0.9032258064516129,0.9333333333333333
 Without-pay,1,0.0,0.0,0.0
 Never-worked,1,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 HS-grad,2110,0.9320388349514563,0.9177820267686424,0.9248554913294798
 Some-college,1496,0.9514285714285714,0.9024390243902439,0.9262865090403337
 Bachelors,1088,0.9501915708812261,0.9219330855018587,0.9358490566037736
 Masters,344,0.9545454545454546,0.9333333333333333,0.9438202247191012
 11th,228,0.953125,0.953125,0.953125
 10th,165,0.9743589743589743,0.95,0.9620253164556962
 Assoc-acdm,200,0.9285714285714286,0.8125,0.8666666666666666
 9th,93,0.9411764705882353,0.9411764705882353,0.9411764705882353
 12th,88,0.9047619047619048,1.0,0.9500000000000001
 5th-6th,81,0.9375,0.9375,0.9375
 Prof-school,113,1.0,0.8846153846153846,0.9387755102040816
 7th-8th,118,0.9090909090909091,0.8695652173913043,0.888888888888889
 Assoc-voc,269,0.9836065573770492,0.9230769230769231,0.9523809523809524
 Doctorate,80,1.0,1.0,1.0
 1st-4th,28,1.0,0.75,0.8571428571428571
 Preschool,12,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3004,0.9387464387464387,0.9178272980501393,0.928169014084507
 Divorced,875,0.9479166666666666,0.9238578680203046,0.93573264781491
 Married-AF-spouse,8,1.0,1.0,1.0
 Never-married,2112,0.9497206703910615,0.9107142857142857,0.9298085688240657
 Separated,212,0.975609756097561,0.8695652173913043,0.9195402298850575
 Widowed,209,0.9795918367346939,0.96,0.9696969696969697
 Married-spouse-absent,93,0.9545454545454546,0.9130434782608695,0.9333333333333332
feature value,n_samples,precision,recall,fbeta
 Transport-moving,323,0.9830508474576272,0.9206349206349206,0.9508196721311476
 Tech-support,204,0.94,0.94,0.94
 Craft-repair,838,0.9504950495049505,0.8888888888888888,0.9186602870813396
 Adm-clerical,723,0.9738562091503268,0.861271676300578,0.9141104294478527
 ?,395,0.9252336448598131,0.9611650485436893,0.9428571428571428
 Exec-managerial,801,0.9438775510204082,0.8980582524271845,0.9203980099502488
 Sales,710,0.9653179190751445,0.9488636363636364,0.9570200573065903
 Other-service,695,0.9440993788819876,0.9440993788819876,0.9440993788819876
 Protective-serv,145,0.9705882352941176,0.9166666666666666,0.9428571428571428
 Prof-specialty,833,0.93,0.9207920792079208,0.9253731343283582
 Machine-op-inspct,368,0.9069767441860465,0.9285714285714286,0.9176470588235294
 Handlers-cleaners,251,0.9402985074626866,0.9130434782608695,0.9264705882352942
 Farming-fishing,198,0.9183673469387755,0.9375,0.9278350515463918
 Priv-house-serv,28,1.0,0.875,0.9333333333333333
 Armed-Forces,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2639,0.939935064935065,0.9132492113564669,0.9264
 Not-in-family,1660,0.9514066496163683,0.8963855421686747,0.923076923076923
 Own-child,1022,0.9341085271317829,0.9198473282442748,0.9269230769230768
 Unmarried,669,0.9810126582278481,0.9451219512195121,0.9627329192546583
 Wife,318,0.9342105263157895,0.9466666666666667,0.9403973509933775
 Other-relative,205,0.9555555555555556,0.9555555555555556,0.9555555555555556
feature value,n_samples,precision,recall,fbeta
 White,5558,0.9476876421531463,0.9218289085545722,0.9345794392523364
 Asian-Pac-Islander,221,0.9298245614035088,0.8548387096774194,0.8907563025210085
 Black,628,0.9432624113475178,0.8807947019867549,0.910958904109589
 Amer-Indian-Eskimo,57,0.8571428571428571,0.9230769230769231,0.888888888888889
 Other,49,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Male,4334,0.94180407371484,0.9160377358490566,0.9287422285987565
 Female,2179,0.9551656920077972,0.9158878504672897,0.9351145038167938
feature value,n_samples,precision,recall,fbeta
 United-States,5837,0.9488472622478387,0.9158553546592489,0.932059447983015
 Germany,30,1.0,0.8571428571428571,0.923076923076923
 Mexico,130,0.9615384615384616,0.9615384615384616,0.9615384615384616
 China,20,0.6666666666666666,0.5,0.5714285714285715
 Philippines,42,1.0,1.0,1.0
 Canada,22,1.0,0.875,0.9333333333333333
 Puerto-Rico,29,1.0,1.0,1.0
 Poland,13,1.0,1.0,1.0
 England,17,0.8,1.0,0.888888888888889
 India,14,1.0,0.8,0.888888888888889
 Yugoslavia,4,0.0,0.0,0.0
 Laos,5,1.0,1.0,1.0
 Trinadad&Tobago,5,0.0,0.0,0.0
 Cuba,16,1.0,0.8333333333333334,0.9090909090909091
 ?,100,0.8421052631578947,0.9411764705882353,0.8888888888888888
 Outlying-US(Guam-USVI-etc),4,0.0,0.0,0.0
 Iran,8,0.75,1.0,0.8571428571428571
 Vietnam,14,1.0,1.0,1.0
 Peru,8,1.0,1.0,1.0
 Italy,17,1.0,1.0,1.0
 Taiwan,13,1.0,1.0,1.0
 Jamaica,19,0.8333333333333334,1.0,0.9090909090909091
 El-Salvador,25,1.0,0.7142857142857143,0.8333333333333333
 Dominican-Republic,11,1.0,1.0,1.0
 Columbia,10,1.0,1.0,1.0
 Haiti,5,0.0,0.0,0.0
 Ireland,5,1.0,1.0,1.0
 Honduras,4,1.0,1.0,1.0
 South,18,0.6666666666666666,0.8,0.7272727272727272
 Japan,12,1.0,1.0,1.0
 Cambodia,4,0.0,0.0,0.0
 Guatemala,8,1.0,1.0,1.0
 Ecuador,7,1.0,1.0,1.0
 Holand-Netherlands,1,0.0,0.0,0.0
 Portugal,7,1.0,1.0,1.0
 Hong,7,0.0,0.0,0.0
 Nicaragua,7,1.0,1.0,1.0
 France,4,1.0,1.0,1.0
 Scotland,2,0.0,0.0,0.0
 Greece,4,1.0,0.5,0.6666666666666666
 Hungary,2,0.0,0.0,0.0
 Thailand,3,0.0,0.0,0.0
